,title,salary,jobtype,location,description,company
1615,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1616,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1617,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1618,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1619,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1620,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1621,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1622,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1623,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1624,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1625,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1626,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1627,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1628,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1629,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1630,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1631,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1632,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1633,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1634,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1635,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1636,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1637,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1638,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1639,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1640,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1641,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1642,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1643,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1644,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1645,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
